                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.99214,                0.78198,                0.99355,                0.94632,                0.97761,                0.97856,                0.71227,                0.99042,                0.69921,                 1.0102,              0.0062875,              0.0062875,              0.0062875
                     77,                0.92461,                0.77288,                0.97051,                0.95647,                0.98228,                0.98488,                0.70592,                 1.0247,                0.75372,                 1.0172,               0.006238,               0.006238,               0.006238
                     78,                 1.0177,                0.75733,                0.97837,                0.96719,                0.94539,                0.98148,                0.69986,                 1.0529,                0.74992,                 1.0267,              0.0061885,              0.0061885,              0.0061885
                     79,                0.96585,                0.77545,                 1.0266,                0.93709,                0.92404,                0.96528,                0.69727,                 1.0428,                0.76439,                 1.0318,               0.006139,               0.006139,               0.006139
                     80,                  1.004,                0.77396,                0.97103,                0.91273,                0.96266,                0.96222,                0.67781,                  1.061,                0.75147,                 1.0437,              0.0060895,              0.0060895,              0.0060895
                     81,                0.92701,                0.71751,                0.94807,                0.92345,                0.95146,                0.97003,                0.69525,                 1.0181,                 0.7785,                 1.0262,                0.00604,                0.00604,                0.00604
                     82,                0.99348,                0.73485,                0.95685,                0.94613,                0.95213,                0.97578,                0.68494,                 1.0762,                0.76417,                  1.056,              0.0059905,              0.0059905,              0.0059905
                     83,                0.98063,                0.77147,                 1.0088,                0.96778,                0.91806,                0.98036,                0.71789,                0.99885,                0.71343,                 1.0081,               0.005941,               0.005941,               0.005941
                     84,                 0.9122,                0.72267,                0.96248,                0.95015,                0.97188,                  0.971,                0.68419,                 1.0614,                0.72525,                 1.0206,              0.0058915,              0.0058915,              0.0058915
                     85,                0.93368,                0.76358,                0.96339,                 0.9524,                0.95735,                0.97261,                0.70654,                0.99429,                0.71194,                 1.0018,               0.005842,               0.005842,               0.005842
                     86,                0.95942,                0.74853,                0.99047,                0.95455,                0.96711,                0.97073,                0.68872,                 1.0238,                0.72457,                 1.0059,              0.0057925,              0.0057925,              0.0057925
                     87,                0.92676,                0.71665,                 0.9634,                0.93288,                0.96137,                0.95759,                0.68078,                 1.0699,                0.72212,                 1.0229,               0.005743,               0.005743,               0.005743
                     88,                0.95334,                0.72015,                0.98162,                0.94536,                0.96949,                0.97977,                0.71339,                 0.9814,                0.68763,                0.99477,              0.0056935,              0.0056935,              0.0056935
                     89,                0.89408,                 0.6961,                0.96678,                0.94173,                0.97115,                0.97744,                0.70185,                 1.0581,                0.70611,                 1.0257,               0.005644,               0.005644,               0.005644
                     90,                0.88984,                0.70746,                0.95612,                 0.9652,                0.96364,                0.98198,                0.71571,                0.99584,                0.67588,                 1.0097,              0.0055945,              0.0055945,              0.0055945
                     91,                0.89123,                0.71433,                0.95104,                0.96364,                0.96633,                 0.9839,                 0.7142,                 1.0197,                0.67367,                 1.0354,               0.005545,               0.005545,               0.005545
                     92,                0.91638,                0.68066,                 0.9436,                0.94433,                 0.9759,                0.98107,                 0.6969,                 1.0437,                0.70806,                 1.0439,              0.0054955,              0.0054955,              0.0054955
                     93,                0.89907,                0.70545,                0.97273,                0.97011,                0.97047,                0.98355,                0.70081,                 1.0648,                0.68268,                 1.0533,               0.005446,               0.005446,               0.005446
                     94,                0.96329,                0.70675,                0.95033,                 0.9594,                0.93906,                0.98003,                0.71165,                 1.0217,                0.69407,                 1.0168,              0.0053965,              0.0053965,              0.0053965
                     95,                0.92735,                0.73764,                0.96474,                0.91772,                0.96905,                0.98128,                0.70509,                 1.0342,                0.73251,                 1.0143,               0.005347,               0.005347,               0.005347
                     96,                0.90607,                0.71537,                0.95368,                0.91726,                0.97012,                0.98004,                 0.7214,                0.99307,                 0.6809,                 1.0122,              0.0052975,              0.0052975,              0.0052975
                     97,                0.90561,                0.72718,                0.98326,                0.90086,                0.98556,                0.98324,                0.71494,                 1.0453,                 0.6885,                 1.0421,               0.005248,               0.005248,               0.005248
                     98,                0.88135,                0.68259,                0.95323,                0.93202,                0.97056,                 0.9818,                0.72862,                0.99636,                0.69127,                 1.0099,              0.0051985,              0.0051985,              0.0051985
                     99,                0.92103,                0.70918,                0.97512,                0.94366,                0.97179,                 0.9846,                0.71981,                0.99937,                0.66031,                  1.008,               0.005149,               0.005149,               0.005149
                    100,                0.86133,                0.68848,                0.93926,                 0.9621,                0.98631,                 0.9842,                0.72714,                0.98746,                0.65902,                 1.0064,              0.0050995,              0.0050995,              0.0050995
                    101,                 0.9171,                0.73385,                0.98323,                0.95987,                0.97052,                0.98424,                0.71988,                0.98958,                0.65216,                  1.011,                0.00505,                0.00505,                0.00505
                    102,                0.90253,                0.71951,                0.95722,                0.96418,                0.96301,                0.98316,                0.71841,                 1.0179,                0.67136,                 1.0334,              0.0050005,              0.0050005,              0.0050005
                    103,                0.89247,                0.69044,                0.96867,                 0.9467,                0.98235,                0.98393,                0.72053,                0.99886,                0.66533,                 1.0372,               0.004951,               0.004951,               0.004951
                    104,                0.94209,                0.70868,                 0.9519,                0.96991,                0.96538,                 0.9844,                0.72479,                 1.0009,                0.64072,                 1.0253,              0.0049015,              0.0049015,              0.0049015
                    105,                0.84998,                0.66065,                0.93844,                0.95846,                0.94462,                 0.9724,                0.71911,                0.96746,                0.68844,                 1.0037,               0.004852,               0.004852,               0.004852
                    106,                0.87612,                0.66492,                0.96958,                0.96985,                0.96261,                0.98187,                 0.7332,                0.97811,                0.64421,                 1.0167,              0.0048025,              0.0048025,              0.0048025
                    107,                0.86515,                0.65391,                0.94074,                 0.9619,                0.97438,                0.98279,                0.73475,                0.96898,                0.64429,                0.99811,               0.004753,               0.004753,               0.004753
                    108,                0.85466,                0.63876,                0.92364,                0.96318,                0.97792,                0.98521,                0.72545,                 1.0154,                0.64887,                 1.0227,              0.0047035,              0.0047035,              0.0047035
                    109,                0.88493,                0.67925,                0.95616,                0.93809,                 0.9729,                0.98343,                0.72581,                0.99837,                0.65828,                  1.012,               0.004654,               0.004654,               0.004654
                    110,                0.85388,                0.64856,                0.93999,                0.96502,                0.95336,                  0.987,                0.73552,                0.98041,                0.63852,                 1.0054,              0.0046045,              0.0046045,              0.0046045
                    111,                 0.8608,                0.68411,                0.96093,                0.96213,                0.95886,                 0.9827,                 0.7198,                0.99611,                0.63719,                 1.0139,               0.004555,               0.004555,               0.004555
                    112,                0.83587,                 0.6435,                0.93666,                0.96842,                0.97066,                0.98099,                0.71238,                 1.0148,                0.62959,                 1.0227,              0.0045055,              0.0045055,              0.0045055
                    113,                0.83962,                0.65091,                0.95164,                0.95361,                0.94808,                0.97471,                 0.7154,                0.99893,                0.66649,                0.99658,               0.004456,               0.004456,               0.004456
                    114,                0.86817,                0.64616,                0.94146,                0.95761,                0.94597,                0.97806,                0.71011,                  1.018,                0.66312,                 1.0143,              0.0044065,              0.0044065,              0.0044065
                    115,                0.88831,                0.65376,                0.95037,                0.95795,                0.97644,                 0.9807,                0.71339,                 1.0253,                0.63813,                 1.0374,               0.004357,               0.004357,               0.004357
                    116,                0.87167,                0.69485,                0.94679,                0.94801,                0.97593,                0.97913,                0.71465,                 1.0074,                0.65594,                 1.0161,              0.0043075,              0.0043075,              0.0043075
                    117,                0.82691,                0.63444,                0.93356,                0.95898,                0.98254,                0.98099,                0.71869,                 1.0177,                0.62506,                 1.0293,               0.004258,               0.004258,               0.004258
                    118,                0.84966,                 0.6489,                 0.9346,                 0.9427,                 0.9743,                0.97934,                0.72415,                0.99477,                0.62535,                 1.0214,              0.0042085,              0.0042085,              0.0042085
